DRIVER_ID,VEHICLE_ID
85854409,7420963
85854448,7396448
85854454,6208988
85854553,6078430
85854569,6212210
85854594,7416184
85854609,6078430
85854629,6424402
85854661,6667632
85854568,6350658
85854715,7416184
85854730,6000536
85854765,7293441
85854766,7416184
85854782,7416184
85854805,7416184
85854940,6208988
85854943,6398053
85854943,6162947
85854962,6368634
85855052,6087649
85855052,7465251
85855053,6087649
85855053,7465251
85855054,6087649
85855054,7465251
85855163,6113866
85855218,6074990
85855218,6367258
85855240,6115364
85855443,7193163
85855287,7016222
85855301,7192435
85855443,6173074
85855327,6101272
85855387,7193163
85855387,6173074
85855359,6801757
85855544,7197067
85855568,6596409
85855628,6034986
85855651,6717908
85855685,7478852
85855717,7293441
85855734,6621980
85856909,6608750
85856909,7299712
85855757,6494341
85855797,6494341
85856916,6362723
85855808,6494341
85855823,6089352
85855836,6009215
85855840,6398053
85855840,6115064
85855979,6065226
85856002,7434697
85856041,6621419
85856063,6343665
85856060,6493528
85856080,6658240
85856087,6658153
85856155,7193013
85856156,7193013
85856157,7193013
85856158,7428233
85856227,7034412
85856286,6820739
85856298,7316639
85856346,6181519
85856351,6001408
85856357,6001408
85856521,7159245
85856564,7402429
85856578,6001408
85856557,6718251
85856557,7110427
85856700,7477382
85856700,6367144
85856736,6620446
85856758,6620446
85856788,6620422
85856844,6802534
85856857,6802534
85856896,6803274
85857059,6803274
85857091,6715241
85857112,6493457
85857168,6801510
85857191,6597087
85857194,6801510
85857193,6621285
85857302,6112640
85857330,7191180
85857354,6313464
85857422,7455516
85857494,6166771
85857494,6067516
85857534,7034412
85857615,6115099
85857640,6208479
85857796,6821360
85857808,7135680
85857846,6075001
85857854,7430713
85857863,7430713
85857922,6717616
85859577,6621430
85859577,6794770
85858014,6717864
85858033,6717864
85858082,6118003
85859583,6715598
85858120,6803274
85858181,6409016
85858301,7431152
85858301,6400004
85858438,6114738
85858438,7434982
85858463,6805301
85858490,6805269
85858651,6621495
85859603,6621430
85858766,7474631
85858768,7416229
85858768,6821628
85858784,6208540
85858784,6113395
85858784,6083402
85859603,6794770
85858797,7416492
85858849,6801297
85858849,6805641
85858876,6168584
85858903,6821628
85858903,7416229
85858932,7459503
85858983,6038677
85858983,6431257
85859026,6115179
85859041,6715627
85859156,7434982
85859248,6718413
85859248,6493367
85859379,7434697
85859419,6118458
85859419,7434697
85859497,6821330
85859646,6016661
85859661,7396448
85859684,7458081
85859738,99996
85859791,6663923
85859963,6001830
85859942,6212145
85859976,6818971
85859985,6116187
85859989,6373304
85859997,6113713
85860024,6116187
85860034,6715598
85859942,6368980
85859942,6112388
85860104,6435964
85860213,7397781
85860244,6113713
85860252,7466084
85860370,6818876
85860398,99995
85862276,6118775
85860825,6074684
85860879,7192365
85860870,99995
85860909,7191986
85860879,6112581
85860977,99996
85862287,6001408
85860949,7192363
85861154,7316958
85861164,6341376
85861212,7185306
85861217,7316958
85861238,6011633
85861184,99995
85861254,99996
85861348,6621501
85861400,6001047
85861477,6212210
85861486,6370660
85861463,99995
85861504,6114708
85861514,99996
85861580,6827372
85861785,7459030
85861803,6112727
85862311,7455487
85861894,6622316
85861899,7114719
85861896,99995
85862311,7471352
85861898,99996
85862023,6720143
85862068,99996
85865143,6643613
85862381,6001408
85862346,7289790
85862383,99995
85862371,6447011
85862489,6142312
85862489,6255624
85862657,6620348
85862677,7350746
85862681,7350797
85862646,6099433
85862727,6364958
85862776,6435282
85862776,7466265
85862780,6350669
85862748,99996
85862884,7498058
85865058,6000654
85862867,6435958
85862988,7498058
85862951,99995
85863125,7426402
85863202,6493584
85863202,7200225
85863162,7262537
85863218,6367497
85863277,99995
85863405,6803388
85863407,6499555
85863407,7506212
85863377,99995
85865227,7444535
85863667,7317978
85863590,99996
85863746,7176345
85863792,6805400
85863745,99995
85863708,6805325
85863786,99996
85863787,99995
85863796,99996
85863986,6495087
85863986,6621733
85863654,6352662
85864079,7487155
85864181,6497675
85864161,6802096
85864270,6621436
85864264,7397764
85864455,7158772
85864455,7341023
85864455,7320764
85864521,7263039
85864549,6803388
85864555,6802186
85864556,6802186
85864561,7263039
85864567,7193164
85864603,6075266
85864662,7465340
85864713,7192216
85864791,99996
85864814,7397431
85864798,6364959
85864872,6940390
85864966,7416488
85864971,7016222
85865292,7260219
85864997,99995
85865066,7316094
85865104,6643613
85865328,7428449
85865382,6621436
85865442,6087894
85865503,6643613
85865419,99996
85865559,6496057
85865559,6621445
85865559,6444262
85867628,99996
85865628,6115049
85865628,6120429
85865631,7457657
85865672,6774844
85865753,6116238
85865631,7411546
85865786,6621257
85865789,99996
85865794,7262538
85865861,6818810
85867836,7133865
85865963,7040480
85866047,7397767
85867766,99995
85865960,99996
85867728,7460451
85866340,7182383
85866374,7015804
85866374,7014964
85866304,99996
85866432,6439525
85866473,6621654
85866460,6507656
85866461,99996
85866497,6774844
85867879,7465156
85866667,6804001
85866667,6658154
85866835,6350368
85866835,7319834
85866855,6353006
85866855,6621216
85866855,7289083
85866659,99996
85866894,6113006
85866894,7199891
85866894,6025630
85866894,6493664
85866842,6075462
85866925,7468291
85866844,99996
85866944,99995
85866884,6112329
85867161,6803388
85867279,7480092
85867200,99995
85867239,99996
85866884,6113495
85867405,99997
85867441,7435014
85867441,7188052
85867441,7135512
85867345,99996
85867474,99996
85867641,99996
85867572,99996
85870334,6129954
85868080,6114703
85868164,6716846
85868164,6714836
85867920,99995
85868106,99995
85868203,99995
85868295,6061173
85868295,6716553
85868310,6112997
85868452,7151930
85868532,4006096
85868555,6715743
85868493,99995
85868556,4006096
85868545,99996
85868587,6048101
85868693,7192216
85868810,6119291
85868810,4032851
85868855,6034448
85868855,7192436
85868847,7421662
85868910,99997
85868720,99996
85869093,99996
85869043,99995
85868984,99996
85869140,6399290
85869202,99996
85869112,99996
85869256,6820645
85869258,6061810
85869291,6863588
85869332,7192192
85869370,7016222
85869263,99995
85869141,99996
85869488,6343720
85869492,7199021
85869474,7267387
85869535,6112320
85869810,6353006
85869810,7289083
85869810,6622814
85869811,7337605
85869716,99995
85869896,6818970
85869895,6112320
85869999,6373026
85869950,99995
85870025,6134466
85869924,99996
85870136,6802096
85870153,99997
85870423,99995
85870492,6820645
85870252,6082440
85870244,99995
85870344,99995
85870542,6162905
85870546,7459299
85870548,6368234
85870554,6621269
85870557,6658170
85870684,6207843
85870679,6718251
85870679,7110427
85870839,6017693
85870839,6622594
85870873,6495861
85870962,99997
85870970,6356377
85871006,6119343
85873253,7427923
85873253,6718324
85873253,7309419
85873253,7415329
85873260,7420942
85871137,7489606
85871076,99995
85871063,6803302
85871021,99996
85873164,99996
85871311,99996
85871466,7488183
85871506,7410356
85871506,6089349
85871508,7199376
85871508,6344942
85871544,6804349
85871571,99995
85871711,6820164
85871781,6112455
85871797,6000956
85871942,6402766
85871942,6493578
85872096,6161528
85873332,7460759
85872140,6621449
85873332,7461609
85873332,6116538
85872225,6365236
85872262,6804389
85872281,6219074
85872303,7299543
85872288,7316918
85872397,99995
85872281,6112357
85872281,6116663
85872500,99997
85872374,99996
85872560,99996
85872685,7352476
85872709,6001329
85872777,6494531
85872777,7019500
85872819,6803285
85872857,6350502
85872862,7397803
85872862,6112582
85872934,7020524
85873078,6118458
85873078,7434697
85873067,6718077
85873104,7465249
85873098,99996
85873276,7398418
85873387,6001852
85873423,6803286
85873440,7460759
85873440,7461609
85873440,6116538
85873469,6173473
85873469,6662882
85873469,6557840
85873476,6803286
85875796,7434695
85873560,7396359
85873565,7266799
85873574,7361000
85873633,7432730
85873633,7485567
85873625,6034449
85874005,6774844
85875784,99995
85873740,99996
85874144,99995
85874159,99997
85873907,99996
85874299,6224271
85874301,6224271
85874314,6658548
85874314,6623033
85874337,7135511
85874377,6034626
85874294,99996
85874235,99996
85875895,7469287
85874628,6224271
85874645,6714897
